Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.266: [GC (Allocation Failure) 0.266: [DefNew: 960K->63K(960K), 0.0009892 secs] 15120K->14633K(524224K), 0.0010181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.269: [GC (Allocation Failure) 0.269: [DefNew: 959K->63K(960K), 0.0010797 secs] 15532K->15092K(524224K), 0.0011074 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.276: [GC (Allocation Failure) 0.276: [DefNew: 959K->64K(960K), 0.0015052 secs] 16259K->15839K(524224K), 0.0015443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.280: [GC (Allocation Failure) 0.280: [DefNew: 960K->64K(960K), 0.0011753 secs] 16737K->16277K(524224K), 0.0012049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.282: [GC (Allocation Failure) 0.282: [DefNew: 960K->63K(960K), 0.0009553 secs] 17175K->16702K(524224K), 0.0009825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.287: [GC (Allocation Failure) 0.287: [DefNew: 959K->63K(960K), 0.0010449 secs] 17600K->17142K(524224K), 0.0010777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.290: [GC (Allocation Failure) 0.290: [DefNew: 959K->63K(960K), 0.0011022 secs] 18044K->17606K(524224K), 0.0011322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.294: [GC (Allocation Failure) 0.294: [DefNew: 959K->63K(960K), 0.0011366 secs] 18507K->18033K(524224K), 0.0011674 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.297: [GC (Allocation Failure) 0.297: [DefNew: 959K->64K(960K), 0.0015522 secs] 18934K->18514K(524224K), 0.0015984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.302: [GC (Allocation Failure) 0.302: [DefNew: 960K->63K(960K), 0.0019212 secs] 19435K->19081K(524224K), 0.0019832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.307: [GC (Allocation Failure) 0.307: [DefNew: 959K->63K(960K), 0.0010746 secs] 19979K->19476K(524224K), 0.0011093 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.310: [GC (Allocation Failure) 0.310: [DefNew: 959K->63K(960K), 0.0009604 secs] 20372K->19750K(524224K), 0.0009849 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.314: [GC (Allocation Failure) 0.314: [DefNew: 959K->63K(960K), 0.0009395 secs] 20646K->20062K(524224K), 0.0009695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.317: [GC (Allocation Failure) 0.317: [DefNew: 959K->63K(960K), 0.0008162 secs] 20959K->20345K(524224K), 0.0008387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.321: [GC (Allocation Failure) 0.321: [DefNew: 959K->64K(960K), 0.0010667 secs] 21242K->20793K(524224K), 0.0011267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.324: [GC (Allocation Failure) 0.324: [DefNew: 960K->63K(960K), 0.0010311 secs] 21689K->21125K(524224K), 0.0010738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.329: [GC (Allocation Failure) 0.329: [DefNew: 959K->63K(960K), 0.0010264 secs] 22022K->21424K(524224K), 0.0010619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
